,Product_Name,Original_Price(in Rs),Discount_Price(in Rs),Power_consumption(Watts),Capacity,Reviews,Rating,Brand,Energy_consumption
542,Blue Star 2 Ton 5 Star Split Inverter AC  - White,76000,58999,1770,2,14 Ratings & 3 Reviews,3.9,Blue,5
543,Daikin 1.5 Ton 3 Star Split Inverter with PM 2.5 Filter AC with PM 2.5 Filter  - White,51000,42900,1752,1.5,538 Ratings & 47 Reviews,4.3,Daikin,3
544,Lloyd 1 Ton 3 Star Split Inverter AC  - White,44990,32989,745,1,650 Ratings & 93 Reviews,4.3,Lloyd,3
545,Lloyd 1.5 Ton 5 Star Window AC  - White,45990,33890,114,1.5,12 Ratings & 3 Reviews,3.7,Lloyd,5
546,"LG Convertible 4-in-1 Cooling 1.5 Ton 3 Star Window Dual Inverter HD Filter, Clean Filter Indicator AC...",60990,34549,1114,1.5,871 Ratings & 95 Reviews,4,LG,3
547,LG 1 Ton 3 Star Split Inverter AC  - White,40990,34000,90,1,77 Ratings & 13 Reviews,4.4,LG,3
548,Voltas 2 in 1 Convertible Cooling 1.2 Ton 3 Star Split Inverter Expandable AC  - White,54990,30999,1430,1.2,"16,559 Ratings & 1,553 Reviews",4.2,Voltas,3
549,Whirlpool 1.5 Ton 3 Star Split Inverter AC  - White,65000,42000,2100,1.5,17 Ratings & 2 Reviews,4.3,Whirlpool,3
550,MarQ by Flipkart 1.5 Ton 3 Star Split AC  - White,44999,30999,1093,1.5,"10,579 Ratings & 1,416 Reviews",4.2,MarQ,3
551,"Haier Frost Self-Clean 2023 Model 1.5 Ton 3 Star Split Inverter Intelli Convertible 7-in-1, Cooling at...",66490,36490,1680,1.5,,,Haier,3
552,MarQ by Flipkart 1.5 Ton 3 Star Split AC  - White,44999,30999,1093,1.5,"10,579 Ratings & 1,416 Reviews",4.2,MarQ,3
553,"Haier Frost Self-Clean 2023 Model 1.5 Ton 3 Star Split Inverter Intelli Convertible 7-in-1, Cooling at...",66490,36490,1680,1.5,,,Haier,3
554,Daikin 1 Ton 3 Star Split Inverter with PM 2.5 Filter AC with PM 2.5 Filter  - White,49990,36690,1200,1,14 Ratings & 0 Reviews,3.8,Daikin,3
555,Hitachi 1.5 Ton 3 Star Split Inverter AC  - White,57900,36990,1475,1.5,22 Ratings & 1 Reviews,3.8,Hitachi,3
556,Panasonic 1.5 Ton 3 Star Window Inverter AC  - White,42500,35770,1185,1.5,,,Panasonic,3
557,Panasonic 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,54500,44990,1435,1.5,,,Panasonic,5
558,Daikin 1.5 Ton Split Inverter AC  - White,58400,39990,1435,1.5,,,Daikin,
559,Godrej 4-Way Air Swing 1.5 Ton 3 Star Split with Anti-Dust Filter AC  - White,47990,33190,1045,1.5,132 Ratings & 17 Reviews,4.3,Godrej,3
560,Haier 2 Ton 3 Star Split Inverter AC  - White,79990,55600,880,2,,,Haier,3
561,Haier 1.5 Ton Split AC  - White,60990,33999,880,1.5,,,Haier,
562,"Haier UVC Sterilization 2023 Model 1.6 Ton 5 Star Split Inverter Frost Self-clean technology, Superson...",79990,43999,1455,1.6,,,Haier,5
563,Panasonic 1.5 Ton 5 Star Split Inverter AC  - White,67400,49980,1290,1.5,,,Panasonic,5
564,Lloyd 1 Ton 3 Star Split Inverter AC  - White,44490,30999,711,1,,,Lloyd,3
565,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,61000,35300,1690,1.5,"1,972 Ratings & 187 Reviews",4.1,Voltas,3
566,"Blue Star Convertible 4 in 1 Cooling 2023 Model 2 Ton 3 Star Split Inverter Multi Sensors, Stabalizer ...",71750,48890,2025,2,3 Ratings & 0 Reviews,4.7,Blue,3
567,Godrej 2 Ton 3 Star Hot and Cold Split Inverter AC  - White,55990,42990,1201,2,,,Godrej,3
568,Lloyd 2 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,79990,54490,1810,2,5 Ratings & 0 Reviews,3.4,Lloyd,5
569,LG 1.5 Ton Split Dual Inverter AC  - White,75990,44990,1810,1.5,,,LG,
570,Daikin 1.5 Ton 3 Star Hot and Cold Split Inverter AC  - White,52290,47890,999,1.5,22 Ratings & 2 Reviews,4.4,Daikin,3
571,Godrej 1.5 Ton 3 Star Split AC  - White,42900,38900,1149,1.5,25 Ratings & 3 Reviews,4.4,Godrej,3
572,LG 1.5 Ton 3 Star Split Dual Inverter AC  - White,68990,37499,1600,1.5,18 Ratings & 1 Reviews,3.7,LG,3
573,Voltas 1.5 Ton 3 Star Split Inverter adjustible AC  - White,59990,34990,1036,1.5,20 Ratings & 1 Reviews,4.3,Voltas,3
574,Godrej 5-In-1 Convertible Cooling 1.5 Ton 3 Star Split Inverter Anti-Leak AC  - White,48899,33249,980,1.5,"1,113 Ratings & 114 Reviews",4,Godrej,3
575,Voltas 2 Ton Split Inverter AC  - White,93999,55789,980,2,,,Voltas,
