,Unnamed: 0,Product_Name,Original_Price(in Rs),Discount_Price(in Rs),Power_consumption(Watts),Capacity,Reviews,Rating,Brand,Energy_consumption
183,183,Daikin 1.5 Ton 3 Star Split Inverter AC with PM 2.5 Filter  - White,58400.0,38899,1670,1.5,7 Ratings & 1 Reviews,3.9,Daikin,3.0
184,184,Daikin 1.5 Ton 5 Star Split Inverter AC  - White,71200.0,47999,1290,1.5,355 Ratings & 53 Reviews,4.2,Daikin,5.0
185,185,Voltas 2 Ton 5 Star Split Inverter AC  - White,93990.0,55499,959,2.0,"16,559 Ratings & 1,553 Reviews",4.2,Voltas,5.0
186,186,"Blue Star 2023 Model 1.5 Ton 2 Star Split Multi Sensors, Comfort Sleep Mode, Turbo Cool, Self Diagnosi...",52500.0,35490,1127,1.5,"1,604 Ratings & 187 Reviews",4.1,Blue,2.0
187,187,LG 1.5 Ton 5 Star Window Smart AC with Wi-fi Connect  - White,48990.0,39999,5000,1.5,"2,598 Ratings & 306 Reviews",4.3,LG,5.0
188,188,Lloyd 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,69990.0,42000,780,1.5,791 Ratings & 148 Reviews,4.2,Lloyd,5.0
189,189,Daikin 1.5 Ton 3 Star Hot and Cold Split Inverter AC  - White,61300.0,43490,1600,1.5,35 Ratings & 3 Reviews,4.2,Daikin,3.0
190,190,Whirlpool 4 in 1 Convertible Cooling 1.5 Ton 3 Star Split Inverter AC  - White,62200.0,33490,1450,1.5,"3,616 Ratings & 407 Reviews",4.1,Whirlpool,3.0
191,191,Panasonic 1.5 Ton 3 Star Split Inverter AC  - White,54400.0,35990,1770,1.5,270 Ratings & 28 Reviews,4.1,Panasonic,3.0
192,192,SAMSUNG Convertible 5-in-1 Cooling Mode 1.5 Ton 5 Star Split Inverter Anti Bacteria Filter AC  - White,65990.0,41999,1380,1.5,109 Ratings & 8 Reviews,4.1,SAMSUNG,5.0
193,193,Panasonic 1.5 Ton 3 Star Split Inverter AC  - White,54400.0,35990,1770,1.5,270 Ratings & 28 Reviews,4.1,Panasonic,3.0
194,194,Hitachi 1 Ton 2 Star Window AC  - White,28990.0,28420,921,1.0,"3,847 Ratings & 428 Reviews",4.1,Hitachi,2.0
195,195,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,68990.0,33149,998,1.5,21 Ratings & 0 Reviews,4.0,Voltas,3.0
196,196,Lloyd 1 Ton 3 Star Split AC  - White,49990.0,31590,709,1.0,24 Ratings & 3 Reviews,3.6,Lloyd,3.0
197,197,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1 Ton 5 Star Split Inverter AC with Wi-fi Connect  - Whi...,59990.0,38390,481,1.0,"1,185 Ratings & 108 Reviews",4.0,SAMSUNG,5.0
198,198,Haier 1.6 Ton 5 Star Split Inverter AC  - White,72490.0,42490,880,1.6,5 Ratings & 1 Reviews,2.8,Haier,5.0
199,199,CARRIER HD Filteration 1.5 Ton 3 Star Split AI Flexicool Inverter With Auto Cleanser AC  - White,66990.0,33990,1575,1.5,14 Ratings & 4 Reviews,3.6,CARRIER,3.0
200,200,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Wind Free AC with Wi-fi Co...,75990.0,47499,749,1.5,552 Ratings & 53 Reviews,4.1,SAMSUNG,5.0
201,201,Lloyd 2 Ton 5 Star Split Inverter AC  - White,86990.0,53999,970,2.0,"4,805 Ratings & 874 Reviews",4.2,Lloyd,5.0
202,202,"IFB FastCool Convertible 8-in-1 Cooling, 2023 Model 1.5 Ton 5 Star Split Inverter Smart Ready, 7 Stage...",57990.0,42990,798,1.5,284 Ratings & 51 Reviews,4.3,IFB,5.0
203,203,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 2 Ton 3 Star Split Inverter AC with Wi-fi Connect  - Whi...,83990.0,52490,1145,2.0,"1,185 Ratings & 108 Reviews",4.0,SAMSUNG,3.0
204,204,Lloyd 2 Ton 3 Star Split Inverter AC  - White,77990.0,47000,1261,2.0,"4,805 Ratings & 874 Reviews",4.2,Lloyd,3.0
205,205,SAMSUNG Convertible 5-in-1 Cooling Mode 1 Ton 4 Star Split Inverter Anti Bacteria Filter AC  - White,50990.0,31999,960,1.0,56 Ratings & 7 Reviews,4.0,SAMSUNG,4.0
206,206,Panasonic 1.5 Ton 3 Star Split Inverter AC  - White,48500.0,35990,1056,1.5,"1,105 Ratings & 147 Reviews",4.2,Panasonic,3.0
207,207,Daikin 1.5 Ton 3 Star Split AC  - White,55600.0,37280,1278,1.5,11 Ratings & 3 Reviews,4.1,Daikin,3.0
208,208,"Midea 2023 Model 1.5 Ton 3 Star Split Inverter HD Filter with 2 Way Air Directional Control, Auto Clea...",61790.0,33999,1575,1.5,250 Ratings & 34 Reviews,3.9,Midea,3.0
209,209,Whirlpool 4 in 1 Convertible Cooling 1.5 Ton 3 Star Split Inverter AC  - White,62200.0,32499,1029,1.5,"2,182 Ratings & 311 Reviews",4.1,Whirlpool,3.0
210,210,Lloyd 1 Ton 3 Star Split AC  - White,41990.0,28990,735,1.0,710 Ratings & 105 Reviews,4.2,Lloyd,3.0
211,211,"IFB FastCool Convertible 8-in-1 Cooling, 2023 Model 1 Ton 2 Star Split Inverter Smart Ready, 7 Stage A...",39990.0,31490,773,1.0,632 Ratings & 82 Reviews,4.2,IFB,2.0
212,212,Blue Star 1.5 Ton 5 Star Window Inverter AC  - White,50000.0,39490,1590,1.5,51 Ratings & 6 Reviews,3.8,Blue,5.0
213,213,Panasonic 1 Ton 3 Star Split Inverter AC  - White,42200.0,30990,731,1.0,"1,105 Ratings & 147 Reviews",4.2,Panasonic,3.0
214,214,"LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split AI Dual Inverter UV Nano, 4 Way Swing...",83990.0,50990,685,1.5,36 Ratings & 2 Reviews,4.0,LG,5.0
215,215,Lloyd 1 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,58990.0,32890,533,1.0,34 Ratings & 1 Reviews,4.2,Lloyd,5.0
216,216,"Haier Frost Self-Clean 2023 Model 1 Ton 4 Star Split Inverter Intelli smart, Intelli Convertible 7-in-...",63990.0,36490,985,1.0,34 Ratings & 1 Reviews,4.2,Haier,4.0
217,217,Lloyd 1.5 Ton 3 Star Split AC  - White,52990.0,33960,1087,1.5,710 Ratings & 105 Reviews,4.2,Lloyd,3.0
218,218,Voltas 1 Ton 3 Star Split Inverter AC  - White,56990.0,31490,1115,1.0,"16,559 Ratings & 1,553 Reviews",4.2,Voltas,3.0
219,219,Voltas 1.5 Ton 5 Star Split Inverter AC  - White,77990.0,42365,759,1.5,"16,559 Ratings & 1,553 Reviews",4.2,Voltas,5.0
220,220,Blue Star 1.5 Ton 3 Star Split AC  - White,61750.0,39890,1052,1.5,"16,559 Ratings & 1,553 Reviews",4.2,Blue,3.0
221,221,Panasonic 1 Ton 3 Star Split Inverter AC  - White,47100.0,32490,1095,1.0,270 Ratings & 28 Reviews,4.1,Panasonic,3.0
222,222,Lloyd . 1.5 Ton 5 Star Split Inverter with PM 2.5 Filter AC  - White,60990.0,42599,1095,1.5,37 Ratings & 4 Reviews,4.1,Lloyd,5.0
223,223,Blue Star 1.5 Ton 2 Star Window AC  - White,37500.0,29990,1223,1.5,950 Ratings & 96 Reviews,4.1,Blue,2.0
224,224,"LG Super Convertible 6-in-1 Cooling 1.5 Ton 5 Star Split Dual Inverter AI, 4 Way Swing, HD Filter with...",76990.0,45999,818,1.5,"9,269 Ratings & 920 Reviews",4.1,LG,5.0
225,225,Whirlpool 1.5 Ton 5 Star Split Inverter AC  - White,62433.0,35750,920,1.5,151 Ratings & 15 Reviews,4.1,Whirlpool,5.0
226,226,Daikin 1.5 Ton 5 Star Split Inverter AC  - White,67200.0,46590,785,1.5,24 Ratings & 1 Reviews,4.3,Daikin,5.0
227,227,Blue Star Convertible 4-in-1 Cooling 1 Ton 5 Star Split Inverter AC  - White,59500.0,38490,583,1.0,"13,188 Ratings & 1,434 Reviews",4.2,Blue,5.0
228,228,"CARRIER 2 Ton 3 Star Split Auto Cleanser, Dual Filtration with HD and PM2.5 Filter AC  - White",74090.0,48999,1665,2.0,"6,040 Ratings & 630 Reviews",4.3,CARRIER,3.0
